epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,363.82,2.70461,1.00045,0.73046,0.79586,0.7334,0.73402,0.25487,2.54548,0.92579,0.68781,0.0011684,0.0011684,0.0011684
44,371.899,2.69571,0.95497,0.7404,0.82967,0.68317,0.73629,0.25547,2.56786,0.92765,0.68763,0.0011486,0.0011486,0.0011486
45,379.997,2.62773,0.94059,0.73418,0.82119,0.75248,0.7483,0.27049,2.52269,0.90925,0.69221,0.0011288,0.0011288,0.0011288
46,388.023,2.75532,1.03548,0.73183,0.70127,0.62759,0.56793,0.23778,2.46995,0.88164,0.68742,0.001109,0.001109,0.001109
47,396.167,2.68619,0.99292,0.7404,0.86095,0.73567,0.76924,0.31464,2.39666,0.87243,0.6852,0.0010892,0.0010892,0.0010892
48,404.262,2.51796,0.92669,0.74227,0.82425,0.69654,0.73322,0.30762,2.38086,0.87938,0.68541,0.0010694,0.0010694,0.0010694
49,412.374,2.73381,1.0012,0.74009,0.71227,0.62376,0.61073,0.17012,2.729,1.02787,0.68918,0.0010496,0.0010496,0.0010496
50,420.444,2.64893,0.96092,0.7397,0.79347,0.75248,0.737,0.29749,2.28492,0.89291,0.67529,0.0010298,0.0010298,0.0010298
51,428.681,2.63284,0.94003,0.73124,0.85376,0.75143,0.77445,0.34318,2.19309,0.87402,0.67329,0.00101,0.00101,0.00101
52,436.728,2.61593,0.88402,0.72697,0.8546,0.78218,0.7876,0.33256,2.31116,0.83962,0.68027,0.0009902,0.0009902,0.0009902
53,444.884,2.61584,0.89284,0.7318,0.83807,0.73267,0.77255,0.34216,2.29235,0.85327,0.67796,0.0009704,0.0009704,0.0009704
54,452.965,2.68007,0.92187,0.72665,0.79498,0.69307,0.71772,0.23893,2.61491,1.01603,0.68348,0.0009506,0.0009506,0.0009506
55,461.185,2.62946,0.94802,0.73412,0.76372,0.62376,0.64347,0.22568,2.55873,0.98923,0.68198,0.0009308,0.0009308,0.0009308
56,469.268,2.59511,0.93665,0.713,0.86226,0.70297,0.76862,0.29202,2.38971,0.86787,0.67558,0.000911,0.000911,0.000911
57,477.325,2.63162,0.9218,0.71332,0.77961,0.69307,0.74328,0.28347,2.34704,0.89778,0.66801,0.0008912,0.0008912,0.0008912
58,485.369,2.63395,0.92139,0.73657,0.81728,0.66432,0.72984,0.28692,2.47617,0.91164,0.68331,0.0008714,0.0008714,0.0008714
59,493.476,2.63621,0.9259,0.73203,0.78673,0.69397,0.67583,0.17493,2.67834,0.95513,0.68905,0.0008516,0.0008516,0.0008516
60,501.649,2.69709,0.90417,0.72289,0.87646,0.74257,0.78731,0.27444,2.40597,0.82688,0.68139,0.0008318,0.0008318,0.0008318
61,509.73,2.63364,0.8443,0.72468,0.88424,0.74257,0.78882,0.32073,2.27912,0.84241,0.67507,0.000812,0.000812,0.000812
62,517.754,2.50448,0.82292,0.72946,0.80097,0.71287,0.73199,0.29692,2.50826,0.76264,0.68176,0.0007922,0.0007922,0.0007922
63,525.843,2.62026,0.83526,0.74011,0.84911,0.72432,0.75103,0.30278,2.46194,0.74501,0.67981,0.0007724,0.0007724,0.0007724
64,534.053,2.64717,0.87805,0.72525,0.80249,0.73267,0.72163,0.299,2.39552,0.85062,0.6775,0.0007526,0.0007526,0.0007526
65,542.134,2.67334,0.8717,0.72663,0.81515,0.74222,0.74065,0.28782,2.45443,0.82059,0.67576,0.0007328,0.0007328,0.0007328
66,550.307,2.59682,0.85465,0.73251,0.88869,0.71143,0.77341,0.27268,2.51506,0.85592,0.68314,0.000713,0.000713,0.000713
67,558.412,2.63319,0.87808,0.72905,0.83898,0.67065,0.69754,0.25866,2.43983,0.8676,0.67861,0.0006932,0.0006932,0.0006932
68,566.662,2.66632,0.88188,0.7255,0.86442,0.72277,0.74971,0.29949,2.39964,0.86499,0.67324,0.0006734,0.0006734,0.0006734
69,574.689,2.62743,0.8536,0.72981,0.82999,0.72505,0.73747,0.299,2.39652,0.86644,0.67467,0.0006536,0.0006536,0.0006536
